start_date_local,distance,average_split,average_cadence,name,type,elapsed_time,average_heartrate,time_of_day,average_speed,,
19/02/2019,6876,02:10.8,20,30r20,Rowing,1800,,,3.82,,
17/05/2019,6241,02:17.7,20,30r20,Rowing,1800,,,3.467222222,,
24/05/2019,6569,02:17.0,20,30r20,Rowing,1800,,,3.649444444,,
24/05/2019,6452,02:19.4,20,30r20,Rowing,1800,,,3.584444444,,
02/06/2019,6939,02:09.7,20,30r20,Rowing,1800,,,3.855,,
25/06/2019,6723,02:13.8,19,30r20,Rowing,1800,,,3.735,,
17/08/2019,6430,02:19.9,19,30r20,Rowing,1800,,,3.572222222,,
21/08/2019,6749,02:13.3,20,30r20,Rowing,1800,,,3.749444444,,
26/08/2019,6873,02:10.9,19,30r20,Rowing,1800,,,3.818333333,,
08/10/2019,6886,02:10.6,20,30r20,Rowing,1800,,,3.825555556,,
22/10/2019,6962,02:09.2,20,30r20,Rowing,1800,,,3.867777778,,
12/11/2019,6943,02:09.6,20,30r20,Rowing,1800,,,3.857222222,,
19/11/2019,7014,02:08.3,20,30r20,Rowing,1800,,,3.896666667,,
26/11/2019,6815,02:12.0,20,30r20,Rowing,1800,,,3.786111111,,
03/12/2019,7073,02:07.2,20,30r20,Rowing,1800,,,3.929444444,,
10/12/2019,7010,02:08.3,20,30r20,Rowing,1800,,,3.894444444,,
27/12/2019,7068,02:07.3,20,30r20,Rowing,1800,,,3.926666667,,
17/01/2019,6000,02:06.4,22.66666667,3x2k,Rowing,2477.3,,,2.421991684,,
24/01/2019,6000,02:02.8,23,3x2k,Rowing,2434.1,,,2.464976788,,
31/01/2019,6000,02:04.9,22,3x2k,Rowing,2458.6,,,2.440413243,,
07/02/2019,6000,02:01.6,24,3x2k,Rowing,2419.9,,,2.479441299,,
14/02/2019,6000,02:06.5,22.66666667,3x2k,Rowing,2478.3,,,2.421014405,,
21/02/2019,6000,02:04.7,23.66666667,3x2k,Rowing,2456.7,,,2.442300647,,
09/04/2019,6000,02:01.4,23.66666667,3x2k,Rowing,2417.1,,,2.482313516,,
15/08/2019,6000,02:09.6,23.66666667,3x2k,Rowing,2516,,,2.384737679,,
19/08/2019,6000,02:07.9,23.66666667,3x2k,Rowing,2496.1,,,2.40374985,,
23/08/2019,6000,02:06.0,23.33333333,3x2k,Rowing,2472,,,2.427184466,,
07/01/2020,4714,02:07.2,20,20r20,Rowing,1200,,,3.928333333,,
14/01/2020,4671,02:08.4,20,20r20,Rowing,1200,,,3.8925,,
21/01/2020,4754,02:06.2,20,20r20,Rowing,1200,,,3.961666667,,
28/01/2020,4809,02:04.7,20,20r20,Rowing,1200,182,,4.0075,,
04/02/2020,4809,02:04.7,20,20r20,Rowing,1200,,,4.0075,,
11/02/2020,4820,02:04.4,20,20r20,Rowing,1200,,,4.016666667,,
18/02/2020,4817,02:04.5,20,20r20,Rowing,1200,,,4.014166667,,
25/02/2020,4852,02:03.6,20,20r20,Rowing,1200,,,4.043333333,,
02/03/2020,4883,02:02.8,20,20r20,Rowing,1200,,,4.069166667,,
10/03/2020,4867,02:03.2,20,20r20,Rowing,1200,185,,4.055833333,,
17/03/2020,4886,02:02.7,19,20r20,Rowing,1200,,,4.071666667,,
02/04/2020,4762,02:05.9,20,20r20,Rowing,1200,182,,3.968333333,,
19/03/2020,31350,00:00.0,,UT2,Ride,3600,136,03:45,8.708333333,,
23/03/2020,32970,00:00.0,,UT2,Ride,3600,144,04:00,9.158333333,,
27/03/2020,33470,00:00.0,,UT2,Ride,3600,158,04:20,9.297222222,,
01/04/2020,32770,00:00.0,,UT2,Ride,4200,147,12:00,7.802380952,,
07/04/2020,33660,00:00.0,,UT2,Ride,3600,162,10:30,9.35,,
11/04/2020,14570,00:00.0,,UT2,Ride,1800,137,11:30,8.094444444,,
13/04/2020,32180,00:00.0,,UT2,Ride,3600,148,04:10,8.938888889,,
17/04/2020,31660,00:00.0,,UT2,Ride,3600,148,06:00,8.794444444,,
18/04/2020,26000,00:00.0,,UT2,Ride,3600,144,05:15,7.222222222,,
20/04/2020,31090,00:00.0,,UT2,Ride,3600,145,06:15,8.636111111,,
21/04/2020,23110,00:00.0,,UT2,Ride,2700,146,12:00,8.559259259,,
25/04/2020,31270,00:00.0,,UT2,Ride,3600,145,05:30,8.686111111,,
26/04/2020,21180,00:00.0,,15x1' on 2' off,Ride,2580,156,06:30,8.209302326,,
29/04/2020,39500,00:00.0,,UT2,Ride,4500,146,04:30,8.777777778,,
02/05/2020,47400,00:00.0,,UT2,Ride,5400,146,10:30,8.777777778,,
03/05/2020,20030,00:00.0,,15x1' on 2' off,Ride,2580,153,03:50,7.763565891,,
20/05/2020,22830,00:00.0,,UT2,Ride,2700,148,06:45,8.455555556,,
24/05/2020,47500,00:00.0,,UT2,Ride,5400,152,06:00,8.796296296,,
26/05/2020,17360,00:00.0,,30' max,Ride,1800,175,04:10,9.644444444,,
27/05/2020,45800,00:00.0,,UT2,Ride,5400,146,08:30,8.481481481,,
28/05/2020,48100,00:00.0,,UT2,Ride,5400,148,05:15,8.907407407,,
29/05/2020,48950,00:00.0,,UT2,Ride,5400,148,05:30,9.064814815,,
30/05/2020,20000,00:00.0,,15x1' on 2' off,Ride,2580,163,05:10,7.751937984,,
02/06/2020,17790,00:00.0,,30' max,Ride,1800,178,09:45,9.883333333,,
03/06/2020,55280,00:00.0,,UT2,Ride,6000,150,05:45,9.213333333,,
04/06/2020,49610,00:00.0,,UT2,Ride,5400,153,05:40,9.187037037,,
05/06/2020,20000,00:00.0,,15x1' on 2' off,Ride,2580,164,06:30,7.751937984,,
07/06/2020,60000,00:00.0,,UT2,Ride,6480,155,06:30,9.259259259,,
08/06/2020,32200,00:00.0,,UT2,Ride,3600,146,03:45,8.944444444,,
09/06/2020,18300,00:00.0,,30' max,Ride,1800,177,06:40,10.16666667,,
10/06/2020,31600,00:00.0,,UT2,Ride,3600,139,04:20,8.777777778,,
