,,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence,time_of_day,average_split
x,0,UT2,2022-11-21,Rowing,0.0,3764.0,3764.0,0.0,7.0,0.0,0.0,155.2,163.0,20.1,16:50:45,
x,1,Morning Weight Training,2022-11-21,WeightTraining,0.0,4692.0,4692.0,0.0,3.0,0.0,0.0,123.0,165.0,0.0,09:48:02,
x,2,UT2,2022-11-20,Rowing,0.0,3801.0,3801.0,0.0,5.0,0.0,0.0,152.7,158.0,20.2,15:30:36,
x,3,Morning Weight Training,2022-11-20,WeightTraining,0.0,5176.0,5176.0,0.0,3.0,0.0,0.0,145.2,186.0,0.0,10:54:04,
x,4,2x10’ UT1,2022-11-19,Rowing,0.0,1324.0,1324.0,0.0,3.0,0.0,0.0,181.7,196.0,24.4,10:57:22,
x,5,UT2,2022-11-17,Ride,0.0,3601.0,3601.0,0.0,5.0,0.0,0.0,150.9,161.0,0.0,15:31:21,
x,6,Morning Weight Training,2022-11-17,WeightTraining,0.0,4252.0,4252.0,0.0,4.0,0.0,0.0,128.9,168.0,0.0,07:17:49,
x,7,Afternoon Weight Training,2022-11-16,WeightTraining,0.0,4682.0,4682.0,0.0,5.0,0.0,0.0,140.5,185.0,0.0,17:44:27,
x,8,3x10’ UT1,2022-11-15,Rowing,0.0,2044.0,2044.0,0.0,3.0,0.0,0.0,179.1,194.0,20.4,18:30:14,
x,9,UT2,2022-11-14,Rowing,0.0,3765.0,3765.0,0.0,6.0,0.0,0.0,152.2,162.0,20.1,18:23:54,
x,10,Morning Weight Training,2022-11-11,WeightTraining,0.0,4750.0,4750.0,0.0,5.0,0.0,0.0,138.2,186.0,0.0,10:12:57,
x,11,UT2,2022-11-08,Rowing,0.0,3777.0,3777.0,0.0,6.0,0.0,0.0,150.5,157.0,20.0,17:33:10,
x,12,Morning Weight Training,2022-11-08,WeightTraining,0.0,4550.0,4550.0,0.0,5.0,0.0,0.0,135.1,178.0,0.0,06:54:06,
x,13,3x2k @22/24/26 r6’,2022-11-07,Rowing,0.0,2169.0,2169.0,0.0,0.0,0.0,0.0,161.9,192.0,24.0,18:01:54,
x,14,Morning Weight Training,2022-11-07,WeightTraining,0.0,4517.0,4517.0,0.0,4.0,0.0,0.0,123.5,169.0,0.0,06:52:30,
x,15,UT2,2022-11-06,Rowing,0.0,3492.0,3492.0,0.0,1.0,0.0,0.0,151.9,162.0,20.2,09:22:25,
x,16,Morning Weight Training,2022-11-05,WeightTraining,0.0,5465.0,5465.0,0.0,3.0,0.0,0.0,140.1,181.0,0.0,10:26:49,
x,17,UT2,2022-11-01,Ride,0.0,2702.0,2702.0,0.0,0.0,0.0,0.0,145.6,156.0,0.0,17:39:43,
x,18,Morning Weight Training,2022-11-01,WeightTraining,0.0,4267.0,4267.0,0.0,4.0,0.0,0.0,120.7,169.0,0.0,06:50:23,
x,19,2x20’ UT1,2022-10-31,Rowing,0.0,2646.0,2646.0,0.0,6.0,0.0,0.0,168.9,187.0,20.1,17:14:45,
x,20,Morning Weight Training,2022-10-31,WeightTraining,0.0,4568.0,4568.0,0.0,4.0,0.0,0.0,118.2,163.0,0.0,06:49:31,
x,21,Afternoon Hike,2022-10-30,Hike,3775.5,2682.0,2682.0,11.0,0.0,1.408,2.634,85.1,106.0,56.3,13:54:51,
x,22,Lunch Run,2022-10-30,Run,9016.6,3292.0,3239.0,82.0,6.0,2.784,4.159,152.6,167.0,83.7,11:03:30,
x,23,UT2,2022-10-29,Rowing,0.0,3732.0,3732.0,0.0,0.0,0.0,0.0,151.7,165.0,20.2,17:23:17,
x,24,Progression Run,2022-10-28,Run,7030.5,2014.0,2008.0,26.0,7.0,3.501,4.68,173.0,185.0,84.9,17:12:55,
