,id,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,max_speed,average_heartrate,max_heartrate,average_cadence
0,8149544905,UT2,2022-11-21T16:50:45Z,Rowing,0.0,3764,3764,0,7,0.0,0.0,155.2,163.0,20.1
1,8148160495,Morning Weight Training,2022-11-21T09:48:02Z,WeightTraining,0.0,4692,4692,0,3,0.0,0.0,123.0,165.0,0
2,8145519110,UT2,2022-11-20T15:30:36Z,Rowing,0.0,3801,3801,0,5,0.0,0.0,152.7,158.0,20.2
3,8144095910,Morning Weight Training,2022-11-20T10:54:04Z,WeightTraining,0.0,5176,5176,0,3,0.0,0.0,145.2,186.0,0
4,8138732258,2x10’ UT1,2022-11-19T10:57:22Z,Rowing,0.0,1324,1324,0,3,0.0,0.0,181.7,196.0,24.4
5,8131263746,UT2,2022-11-17T15:31:21Z,Ride,0.0,3601,3601,0,5,0.0,0.0,150.9,161.0,0
6,8129580105,Morning Weight Training,2022-11-17T07:17:49Z,WeightTraining,0.0,4252,4252,0,4,0.0,0.0,128.9,168.0,0
7,8127499799,Afternoon Weight Training,2022-11-16T17:44:27Z,WeightTraining,0.0,4682,4682,0,5,0.0,0.0,140.5,185.0,0
8,8122839966,3x10’ UT1,2022-11-15T18:30:14Z,Rowing,0.0,2044,2044,0,3,0.0,0.0,179.1,194.0,20.4
9,8118176235,UT2,2022-11-14T18:23:54Z,Rowing,0.0,3765,3765,0,6,0.0,0.0,152.2,162.0,20.1
10,8101043839,Morning Weight Training,2022-11-11T10:12:57Z,WeightTraining,0.0,4750,4750,0,5,0.0,0.0,138.2,186.0,0
11,8088320315,UT2,2022-11-08T17:33:10Z,Rowing,0.0,3777,3777,0,6,0.0,0.0,150.5,157.0,20.0
12,8085689248,Morning Weight Training,2022-11-08T06:54:06Z,WeightTraining,0.0,4550,4550,0,5,0.0,0.0,135.1,178.0,0
13,8083384137,3x2k @22/24/26 r6’,2022-11-07T18:01:54Z,Rowing,0.0,2169,2169,0,0,0.0,0.0,161.9,192.0,24.0
14,8080935752,Morning Weight Training,2022-11-07T06:52:30Z,WeightTraining,0.0,4517,4517,0,4,0.0,0.0,123.5,169.0,0
15,8075998877,UT2,2022-11-06T09:22:25Z,Rowing,0.0,3492,3492,0,1,0.0,0.0,151.9,162.0,20.2
16,8071350767,Morning Weight Training,2022-11-05T10:26:49Z,WeightTraining,0.0,5465,5465,0,3,0.0,0.0,140.1,181.0,0
17,8054022420,UT2,2022-11-01T17:39:43Z,Ride,0.0,2702,2702,0,0,0.0,0.0,145.6,156.0,0
18,8050909576,Morning Weight Training,2022-11-01T06:50:23Z,WeightTraining,0.0,4267,4267,0,4,0.0,0.0,120.7,169.0,0
19,8048766478,2x20’ UT1,2022-10-31T17:14:45Z,Rowing,0.0,2646,2646,0,6,0.0,0.0,168.9,187.0,20.1
20,8046225122,Morning Weight Training,2022-10-31T06:49:31Z,WeightTraining,0.0,4568,4568,0,4,0.0,0.0,118.2,163.0,0
21,8043145428,Afternoon Hike,2022-10-30T13:54:51Z,Hike,3775.5,2682,2682,11.0,0,1.408,2.634,85.1,106.0,56.3
22,8042036972,Lunch Run,2022-10-30T11:03:30Z,Run,9016.6,3292,3239,82.0,6,2.784,4.159,152.6,167.0,83.7
23,8038377701,UT2,2022-10-29T17:23:17Z,Rowing,0.0,3732,3732,0,0,0.0,0.0,151.7,165.0,20.2
24,8032900873,Progression Run,2022-10-28T17:12:55Z,Run,7030.5,2014,2008,26.0,7,3.501,4.68,173.0,185.0,84.9
25,8030657947,Morning Weight Training,2022-10-28T06:51:34Z,WeightTraining,0.0,4689,4689,0,7,0.0,0.0,132.2,180.0,0
26,8028428012,2x10’ UT1,2022-10-27T18:19:28Z,Rowing,0.0,1328,1328,0,0,0.0,0.0,174.1,190.0,24.1
27,8023789752,UT2,2022-10-26T18:45:13Z,Rowing,0.0,3746,3746,0,0,0.0,0.0,153.7,163.0,20.2
28,8018047379,Afternoon Run,2022-10-25T17:01:13Z,Run,12065.0,4520,4473,176.0,11,2.697,3.804,145.7,168.0,82.4
29,8015401559,Morning Weight Training,2022-10-25T06:48:51Z,WeightTraining,0.0,4298,4298,0,4,0.0,0.0,133.7,178.0,0
30,8012902759,3x10’ UT1,2022-10-24T17:28:01Z,Rowing,0.0,2045,2045,0,4,0.0,0.0,171.7,190.0,20.3
31,8010707171,Morning Weight Training,2022-10-24T06:49:05Z,WeightTraining,0.0,4483,4483,0,4,0.0,0.0,113.8,161.0,0
32,8006188406,Treadmill Run,2022-10-23T10:38:35Z,Run,7373.8,2701,2701,0,5,2.73,3.178,149.2,159.0,80.9
33,8003343082,UT2,2022-10-22T17:54:59Z,Rowing,0.0,3739,3739,0,0,0.0,0.0,151.9,159.0,20.2
34,7995767601,Threshold Run,2022-10-21T07:45:59Z,Run,8191.1,2704,2700,39.0,12,3.034,5.138,163.3,180.0,84.2
35,7993558498,Afternoon Weight Training,2022-10-20T17:41:29Z,WeightTraining,0.0,4282,4282,0,4,0.0,0.0,142.7,184.0,0
36,7989050225,UT2,2022-10-19T18:37:08Z,Rowing,0.0,3753,3753,0,1,0.0,0.0,150.4,161.0,20.1
37,7983388404,Afternoon Run,2022-10-18T17:28:03Z,Run,8515.0,3313,3200,65.0,8,2.661,4.508,151.6,166.0,81.5
38,7980652175,Morning Weight Training,2022-10-18T06:50:29Z,WeightTraining,0.0,4447,4447,0,3,0.0,0.0,133.7,176.0,0
39,7978100694,30@20,2022-10-17T17:39:36Z,Rowing,0.0,1806,1806,0,9,0.0,0.0,181.9,196.0,20.2
40,7975768685,Morning Weight Training,2022-10-17T06:48:12Z,WeightTraining,0.0,4203,4203,0,3,0.0,0.0,122.1,165.0,0
41,7972861566,Afternoon Run,2022-10-16T14:52:14Z,Run,8769.2,3548,3471,131.0,10,2.526,3.662,152.0,166.0,81.7
42,7962376641,10k UT2,2022-10-14T16:03:05Z,Rowing,0.0,2817,2817,0,0,0.0,0.0,153.3,162.0,20.0
43,7960316192,Morning Weight Training,2022-10-14T06:54:13Z,WeightTraining,0.0,4671,4671,0,3,0.0,0.0,145.5,184.0,0
44,7953783113,UT2,2022-10-12T19:34:06Z,Rowing,0.0,3755,3755,0,4,0.0,0.0,153.9,164.0,20.0
45,7947359106,Afternoon Run,2022-10-11T17:10:45Z,Run,7103.9,2531,2523,51.0,6,2.816,4.183,149.0,161.0,83.1
46,7944842437,Morning Weight Training,2022-10-11T06:52:13Z,WeightTraining,0.0,4224,4224,0,4,0.0,0.0,131.4,175.0,0
47,7942230222,3x10’ UT1,2022-10-10T17:38:01Z,Rowing,0.0,2045,2045,0,0,0.0,0.0,169.0,182.0,20.3
48,7939882987,Uppers,2022-10-10T07:02:00Z,WeightTraining,0.0,3713,3713,0,3,0.0,0.0,116.6,161.0,0
49,7934608501,Morning Run,2022-10-09T09:07:35Z,Run,12720.3,4505,4476,98.0,11,2.842,4.116,156.7,167.0,83.3
50,7932032991,UT2,2022-10-08T17:20:51Z,Rowing,0.0,3764,3764,0,0,0.0,0.0,153.7,161.0,20.2
51,7930157143,Lunch Weight Training,2022-10-08T11:43:07Z,WeightTraining,0.0,5563,5563,0,0,0.0,0.0,131.8,181.0,0
52,7921180978,Afternoon Run,2022-10-06T16:36:26Z,Run,7040.0,2089,2089,28.0,9,3.37,4.365,170.7,182.0,83.9
53,7919022845,Morning Weight Training,2022-10-06T07:04:56Z,WeightTraining,0.0,3569,3569,0,2,0.0,0.0,131.5,172.0,0
54,7916601989,UT2,2022-10-05T17:39:19Z,Rowing,0.0,3741,3741,0,0,0.0,0.0,152.7,165.0,20.1
55,7913911181,Uppers,2022-10-05T07:20:39Z,WeightTraining,0.0,3737,3737,0,5,0.0,0.0,124.2,166.0,0
56,7911240797,2x20’ UT1,2022-10-04T17:50:09Z,Rowing,0.0,2644,2644,0,0,0.0,0.0,170.7,187.0,20.3
57,7908513180,Morning Run,2022-10-04T07:30:20Z,Run,6809.8,2729,2703,30.0,9,2.519,3.569,146.6,160.0,83.3
58,7906392875,Lowers,2022-10-03T18:27:47Z,WeightTraining,0.0,4624,4624,0,5,0.0,0.0,135.9,180.0,0
59,7899916528,Afternoon Run,2022-10-02T13:07:39Z,Run,11133.5,3866,3864,76.0,8,2.881,3.772,157.1,167.0,82.5
60,7893678970,Morning Weight Training,2022-10-01T10:45:00Z,WeightTraining,0.0,4335,4335,0,2,0.0,0.0,139.9,176.0,0
61,7890768451,UT2,2022-09-30T18:01:27Z,Rowing,0.0,3514,3514,0,3,0.0,0.0,154.1,167.0,20.2
62,7885750933,Afternoon Run,2022-09-29T17:20:16Z,Run,7020.8,2130,2130,29.0,11,3.296,4.374,168.9,181.0,82.5
63,7883555539,Uppers,2022-09-29T07:23:19Z,WeightTraining,0.0,4052,4052,0,2,0.0,0.0,120.5,164.0,0
64,7881461775,UT2,2022-09-28T18:33:54Z,Rowing,0.0,3815,3815,0,6,0.0,0.0,154.4,162.0,20.1
65,7876163306,Lowers,2022-09-27T17:59:06Z,WeightTraining,0.0,4373,4373,0,3,0.0,0.0,135.6,180.0,0
66,7871143786,30@20,2022-09-26T18:41:21Z,Rowing,0.0,1823,1823,0,9,0.0,0.0,179.3,193.0,19.9
67,7868376584,Treadmill run,2022-09-26T06:02:25Z,Run,7934.2,2700,2700,0,5,2.939,3.149,143.1,153.0,80.3
68,7865831733,UT2,2022-09-25T15:27:25Z,Rowing,0.0,3248,3248,0,0,0.0,0.0,153.3,163.0,20.2
69,7863947531,Morning Weight Training,2022-09-25T10:08:36Z,WeightTraining,0.0,5485,5485,0,3,0.0,0.0,134.0,176.0,0
70,7860208508,Afternoon Run,2022-09-24T16:00:15Z,Run,10269.7,3431,3426,69.0,7,2.998,4.242,167.8,176.0,82.6
71,7858871041,UT2,2022-09-24T12:10:12Z,Rowing,0.0,3898,3898,0,0,0.0,0.0,154.7,164.0,20.1
72,7852713139,Morning Weight Training,2022-09-23T06:12:30Z,WeightTraining,0.0,3072,3072,0,3,0.0,0.0,122.6,165.0,0
73,7850174956,Afternoon Run,2022-09-22T17:09:24Z,Run,7021.3,2510,2507,28.0,6,2.801,3.871,154.7,162.0,81.1
74,7847871284,Lowers,2022-09-22T07:38:09Z,WeightTraining,0.0,3697,3697,0,2,0.0,0.0,140.6,183.0,0
75,7845560946,3x10’ UT1,2022-09-21T18:57:37Z,Rowing,0.0,2044,2044,0,0,0.0,0.0,173.3,187.0,20.1
76,7840026199,Full body,2022-09-20T18:32:59Z,WeightTraining,0.0,4015,4015,0,5,0.0,0.0,143.0,178.0,0
77,7836492516,Treadmill run,2022-09-20T06:10:02Z,Run,7125.8,2401,2401,0,6,2.968,3.113,148.9,156.0,81.5
