,id,name,start_date_local,type,distance,elapsed_time,moving_time,total_elevation_gain,kudos_count,average_speed,average_heartrate,max_heartrate,average_cadence
0,8050909576,Morning Weight Training,2022-11-01T06:50:23Z,WeightTraining,0.0,4267,4267,0,1,0.0,120.7,169.0,0
1,8048766478,2x20’ UT1,2022-10-31T17:14:45Z,Rowing,0.0,2646,2646,0,5,0.0,168.9,187.0,20.1
2,8046225122,Morning Weight Training,2022-10-31T06:49:31Z,WeightTraining,0.0,4568,4568,0,4,0.0,118.2,163.0,0
3,8043145428,Afternoon Hike,2022-10-30T13:54:51Z,Hike,3775.5,2682,2682,11.0,0,1.408,85.1,106.0,56.3
4,8042036972,Lunch Run,2022-10-30T11:03:30Z,Run,9016.6,3292,3239,82.0,5,2.784,152.6,167.0,83.7
5,8038377701,UT2,2022-10-29T17:23:17Z,Rowing,0.0,3732,3732,0,0,0.0,151.7,165.0,20.2
6,8032900873,Progression Run,2022-10-28T17:12:55Z,Run,7030.5,2014,2008,26.0,7,3.501,173.0,185.0,84.9
7,8030657947,Morning Weight Training,2022-10-28T06:51:34Z,WeightTraining,0.0,4689,4689,0,7,0.0,132.2,180.0,0
8,8028428012,2x10’ UT1,2022-10-27T18:19:28Z,Rowing,0.0,1328,1328,0,0,0.0,174.1,190.0,24.1
9,8023789752,UT2,2022-10-26T18:45:13Z,Rowing,0.0,3746,3746,0,0,0.0,153.7,163.0,20.2
10,8018047379,Afternoon Run,2022-10-25T17:01:13Z,Run,12065.0,4520,4473,176.0,11,2.697,145.7,168.0,82.4
11,8015401559,Morning Weight Training,2022-10-25T06:48:51Z,WeightTraining,0.0,4298,4298,0,4,0.0,133.7,178.0,0
12,8012902759,3x10’ UT1,2022-10-24T17:28:01Z,Rowing,0.0,2045,2045,0,4,0.0,171.7,190.0,20.3
13,8010707171,Morning Weight Training,2022-10-24T06:49:05Z,WeightTraining,0.0,4483,4483,0,4,0.0,113.8,161.0,0
14,8006188406,Treadmill Run,2022-10-23T10:38:35Z,Run,7373.8,2701,2701,0,5,2.73,149.2,159.0,80.9
15,8003343082,UT2,2022-10-22T17:54:59Z,Rowing,0.0,3739,3739,0,0,0.0,151.9,159.0,20.2
16,7995767601,Threshold Run,2022-10-21T07:45:59Z,Run,8191.1,2704,2700,39.0,12,3.034,163.3,180.0,84.2
17,7993558498,Afternoon Weight Training,2022-10-20T17:41:29Z,WeightTraining,0.0,4282,4282,0,4,0.0,142.7,184.0,0
18,7989050225,UT2,2022-10-19T18:37:08Z,Rowing,0.0,3753,3753,0,1,0.0,150.4,161.0,20.1
19,7983388404,Afternoon Run,2022-10-18T17:28:03Z,Run,8515.0,3313,3200,65.0,8,2.661,151.6,166.0,81.5
20,7980652175,Morning Weight Training,2022-10-18T06:50:29Z,WeightTraining,0.0,4447,4447,0,3,0.0,133.7,176.0,0
21,7978100694,30@20,2022-10-17T17:39:36Z,Rowing,0.0,1806,1806,0,9,0.0,181.9,196.0,20.2
22,7975768685,Morning Weight Training,2022-10-17T06:48:12Z,WeightTraining,0.0,4203,4203,0,3,0.0,122.1,165.0,0
23,7972861566,Afternoon Run,2022-10-16T14:52:14Z,Run,8769.2,3548,3471,131.0,10,2.526,152.0,166.0,81.7
24,7962376641,10k UT2,2022-10-14T16:03:05Z,Rowing,0.0,2817,2817,0,0,0.0,153.3,162.0,20.0
25,7960316192,Morning Weight Training,2022-10-14T06:54:13Z,WeightTraining,0.0,4671,4671,0,3,0.0,145.5,184.0,0
26,7953783113,UT2,2022-10-12T19:34:06Z,Rowing,0.0,3755,3755,0,4,0.0,153.9,164.0,20.0
27,7947359106,Afternoon Run,2022-10-11T17:10:45Z,Run,7103.9,2531,2523,51.0,6,2.816,149.0,161.0,83.1
28,7944842437,Morning Weight Training,2022-10-11T06:52:13Z,WeightTraining,0.0,4224,4224,0,4,0.0,131.4,175.0,0
29,7942230222,3x10’ UT1,2022-10-10T17:38:01Z,Rowing,0.0,2045,2045,0,0,0.0,169.0,182.0,20.3
30,7939882987,Uppers,2022-10-10T07:02:00Z,WeightTraining,0.0,3713,3713,0,3,0.0,116.6,161.0,0
31,7934608501,Morning Run,2022-10-09T09:07:35Z,Run,12720.3,4505,4476,98.0,11,2.842,156.7,167.0,83.3
32,7932032991,UT2,2022-10-08T17:20:51Z,Rowing,0.0,3764,3764,0,0,0.0,153.7,161.0,20.2
33,7930157143,Lunch Weight Training,2022-10-08T11:43:07Z,WeightTraining,0.0,5563,5563,0,0,0.0,131.8,181.0,0
34,7921180978,Afternoon Run,2022-10-06T16:36:26Z,Run,7040.0,2089,2089,28.0,9,3.37,170.7,182.0,83.9
35,7919022845,Morning Weight Training,2022-10-06T07:04:56Z,WeightTraining,0.0,3569,3569,0,2,0.0,131.5,172.0,0
36,7916601989,UT2,2022-10-05T17:39:19Z,Rowing,0.0,3741,3741,0,0,0.0,152.7,165.0,20.1
37,7913911181,Uppers,2022-10-05T07:20:39Z,WeightTraining,0.0,3737,3737,0,5,0.0,124.2,166.0,0
38,7911240797,2x20’ UT1,2022-10-04T17:50:09Z,Rowing,0.0,2644,2644,0,0,0.0,170.7,187.0,20.3
39,7908513180,Morning Run,2022-10-04T07:30:20Z,Run,6809.8,2729,2703,30.0,9,2.519,146.6,160.0,83.3
40,7906392875,Lowers,2022-10-03T18:27:47Z,WeightTraining,0.0,4624,4624,0,5,0.0,135.9,180.0,0
41,7899916528,Afternoon Run,2022-10-02T13:07:39Z,Run,11133.5,3866,3864,76.0,8,2.881,157.1,167.0,82.5
42,7893678970,Morning Weight Training,2022-10-01T10:45:00Z,WeightTraining,0.0,4335,4335,0,2,0.0,139.9,176.0,0
43,7890768451,UT2,2022-09-30T18:01:27Z,Rowing,0.0,3514,3514,0,3,0.0,154.1,167.0,20.2
44,7885750933,Afternoon Run,2022-09-29T17:20:16Z,Run,7020.8,2130,2130,29.0,11,3.296,168.9,181.0,82.5
45,7883555539,Uppers,2022-09-29T07:23:19Z,WeightTraining,0.0,4052,4052,0,2,0.0,120.5,164.0,0
